業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
期限管理業務	返却期限を通知するフロー		日次でリマインド対象を抽出する		リマインド対象を抽出する	情報	貸出			日次バッチが返却期限まで所定日数以内で未返却の貸出を抽出し、リマインド対象を判定する	
期限管理業務	返却期限を通知するフロー		日次でリマインド対象を抽出する		リマインド対象を抽出する	情報	リマインド日数				
期限管理業務	返却期限を通知するフロー		日次でリマインド対象を抽出する		リマインド対象を抽出する	情報	利用者				
期限管理業務	返却期限を通知するフロー		日次でリマインド対象を抽出する		リマインド対象を抽出する	条件	リマインド対象判定				
期限管理業務	返却期限を通知するフロー		日次でリマインド対象を抽出する		リマインド対象を抽出する	タイマー	日次リマインド抽出バッチ	アクター	タイマー		価値提供
期限管理業務	返却期限を通知するフロー		リマインドメールを送信する		リマインドを送信する	情報	貸出			抽出した貸出の利用者にメール配信サービス経由でリマインドメールを自動送信し、通知を記録する	
期限管理業務	返却期限を通知するフロー		リマインドメールを送信する		リマインドを送信する	情報	利用者				
期限管理業務	返却期限を通知するフロー		リマインドメールを送信する		リマインドを送信する	情報	通知				
期限管理業務	返却期限を通知するフロー		リマインドメールを送信する		リマインドを送信する	情報	書籍				
期限管理業務	返却期限を通知するフロー		リマインドメールを送信する		リマインドを送信する	条件	リマインド対象判定				
期限管理業務	返却期限を通知するフロー		リマインドメールを送信する		リマインドを送信する	タイマー	日次リマインド送信バッチ	アクター	タイマー		価値提供
期限管理業務	返却期限を通知するフロー		リマインドメールを送信する		リマインドを送信する	イベント	返却期限リマインドメール配信	外部システム	メール配信サービス		
期限管理業務	返却期限を通知するフロー		リマインドを受け取り返却の準備をする							利用者がリマインドメールを受け取り、返却期限までに書籍を返却する準備をする（システムを使わない作業）	
期限管理業務	延滞者に督促するフロー		日次で延滞を判定する		延滞を判定する	情報	貸出			日次バッチが返却期限を超過して未返却の貸出を抽出し、貸出の状態を貸出中から延滞に遷移させる	
期限管理業務	延滞者に督促するフロー		日次で延滞を判定する		延滞を判定する	情報	利用者				
期限管理業務	延滞者に督促するフロー		日次で延滞を判定する		延滞を判定する	条件	延滞判定				
期限管理業務	延滞者に督促するフロー		日次で延滞を判定する		延滞を判定する	タイマー	日次延滞判定バッチ	アクター	タイマー		価値提供
期限管理業務	延滞者に督促するフロー		督促メールを送信する		督促を送信する	情報	貸出			延滞と判定した貸出の利用者にメール配信サービス経由で督促メールを自動送信し、通知を記録する	
期限管理業務	延滞者に督促するフロー		督促メールを送信する		督促を送信する	情報	利用者				
期限管理業務	延滞者に督促するフロー		督促メールを送信する		督促を送信する	情報	通知				
期限管理業務	延滞者に督促するフロー		督促メールを送信する		督促を送信する	情報	書籍				
期限管理業務	延滞者に督促するフロー		督促メールを送信する		督促を送信する	条件	延滞判定				
期限管理業務	延滞者に督促するフロー		督促メールを送信する		督促を送信する	タイマー	日次督促送信バッチ	アクター	タイマー		価値提供
期限管理業務	延滞者に督促するフロー		督促メールを送信する		督促を送信する	イベント	延滞督促メール配信	外部システム	メール配信サービス		
期限管理業務	延滞者に督促するフロー		延滞状況を確認する		延滞一覧を参照する	情報	貸出			司書が延滞中の貸出と督促の送信状況を一覧で確認し、手作業の期限管理・督促なしに延滞の状況を把握する	
期限管理業務	延滞者に督促するフロー		延滞状況を確認する		延滞一覧を参照する	情報	利用者				
期限管理業務	延滞者に督促するフロー		延滞状況を確認する		延滞一覧を参照する	情報	書籍				
期限管理業務	延滞者に督促するフロー		延滞状況を確認する		延滞一覧を参照する	情報	通知				
期限管理業務	延滞者に督促するフロー		延滞状況を確認する		延滞一覧を参照する	条件	延滞判定				
期限管理業務	延滞者に督促するフロー		延滞状況を確認する		延滞一覧を参照する	画面	延滞・督促状況画面	アクター	司書		価値受益
利用者サービス業務	自分の利用状況を確認するフロー		現在の貸出と貸出履歴を確認する		貸出履歴を参照する	情報	貸出			利用者がWeb画面で自分の現在の貸出（返却期限つき）と過去の貸出履歴を一覧で確認する。自分の情報のみ閲覧できる	
利用者サービス業務	自分の利用状況を確認するフロー		現在の貸出と貸出履歴を確認する		貸出履歴を参照する	情報	書籍				
利用者サービス業務	自分の利用状況を確認するフロー		現在の貸出と貸出履歴を確認する		貸出履歴を参照する	情報	利用者				
利用者サービス業務	自分の利用状況を確認するフロー		現在の貸出と貸出履歴を確認する		貸出履歴を参照する	条件	利用状況閲覧範囲判定				
利用者サービス業務	自分の利用状況を確認するフロー		現在の貸出と貸出履歴を確認する		貸出履歴を参照する	画面	マイ貸出履歴画面	アクター	利用者		価値受益
利用者サービス業務	自分の利用状況を確認するフロー		予約状況を確認する		予約状況を参照する	情報	予約			利用者がWeb画面で自分の予約中の書籍と予約順位、予約の状態を一覧で確認する。自分の情報のみ閲覧できる	
利用者サービス業務	自分の利用状況を確認するフロー		予約状況を確認する		予約状況を参照する	情報	書籍				
利用者サービス業務	自分の利用状況を確認するフロー		予約状況を確認する		予約状況を参照する	情報	利用者				
利用者サービス業務	自分の利用状況を確認するフロー		予約状況を確認する		予約状況を参照する	条件	利用状況閲覧範囲判定				
利用者サービス業務	自分の利用状況を確認するフロー		予約状況を確認する		予約状況を参照する	画面	マイ予約状況画面	アクター	利用者		価値受益
利用者サービス業務	自分の利用状況を確認するフロー		利用者からの問い合わせに対応する		利用者の利用状況を参照する	情報	利用者			司書が窓口で利用者番号を指定して該当利用者の貸出と予約の状況を確認し、Web画面を使えない利用者に案内する	
利用者サービス業務	自分の利用状況を確認するフロー		利用者からの問い合わせに対応する		利用者の利用状況を参照する	情報	貸出				
利用者サービス業務	自分の利用状況を確認するフロー		利用者からの問い合わせに対応する		利用者の利用状況を参照する	情報	予約				
利用者サービス業務	自分の利用状況を確認するフロー		利用者からの問い合わせに対応する		利用者の利用状況を参照する	情報	書籍				
利用者サービス業務	自分の利用状況を確認するフロー		利用者からの問い合わせに対応する		利用者の利用状況を参照する	画面	窓口利用状況照会画面	アクター	司書		価値提供
運営分析業務	蔵書の利用状況を分析するフロー		在庫状況を把握する		在庫状況一覧を参照する	情報	書籍			司書が書籍ごとの状態（貸出中・在庫あり・予約待ち）を一覧で確認する	
運営分析業務	蔵書の利用状況を分析するフロー		在庫状況を把握する		在庫状況一覧を参照する	情報	ジャンル				
運営分析業務	蔵書の利用状況を分析するフロー		在庫状況を把握する		在庫状況一覧を参照する	条件	在庫状況判定				
運営分析業務	蔵書の利用状況を分析するフロー		在庫状況を把握する		在庫状況一覧を参照する	画面	在庫状況一覧画面	アクター	司書		価値受益
運営分析業務	蔵書の利用状況を分析するフロー		人気書籍を把握する		人気書籍ランキングを参照する	情報	貸出統計			司書が貸出記録に基づく貸出回数の多い順の書籍ランキングを確認する	
運営分析業務	蔵書の利用状況を分析するフロー		人気書籍を把握する		人気書籍ランキングを参照する	情報	貸出				
運営分析業務	蔵書の利用状況を分析するフロー		人気書籍を把握する		人気書籍ランキングを参照する	情報	書籍				
運営分析業務	蔵書の利用状況を分析するフロー		人気書籍を把握する		人気書籍ランキングを参照する	条件	人気書籍ランキング判定				
運営分析業務	蔵書の利用状況を分析するフロー		人気書籍を把握する		人気書籍ランキングを参照する	画面	人気書籍ランキング画面	アクター	司書		価値受益
運営分析業務	蔵書の利用状況を分析するフロー		期間別の貸出傾向を把握する		期間別貸出統計を参照する	情報	貸出統計			司書が期間（日・月・年）を指定して期間内の貸出件数の集計を確認する	
運営分析業務	蔵書の利用状況を分析するフロー		期間別の貸出傾向を把握する		期間別貸出統計を参照する	情報	貸出				
運営分析業務	蔵書の利用状況を分析するフロー		期間別の貸出傾向を把握する		期間別貸出統計を参照する	情報	書籍				
運営分析業務	蔵書の利用状況を分析するフロー		期間別の貸出傾向を把握する		期間別貸出統計を参照する	条件	集計期間判定				
運営分析業務	蔵書の利用状況を分析するフロー		期間別の貸出傾向を把握する		期間別貸出統計を参照する	画面	期間別貸出統計画面	アクター	司書		価値受益
運営分析業務	蔵書の利用状況を分析するフロー		分析結果を選書・運営改善に活かす							司書が在庫状況・ランキング・貸出統計をもとに選書や運営改善の判断を行う（システムを使わない作業）	
利用者管理業務	利用者を管理するフロー		利用者情報を削除する		利用者を削除する	条件	利用者削除可否判定				
