業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
貸出業務	返却期限通知フロー	""	返却期限の近い貸出を確認する	""	返却期限間近の貸出を抽出する	タイマー	日次の期限チェック	""	""	""	""
貸出業務	返却期限通知フロー	""	返却期限のリマインドを受け取る	""	返却期限リマインドを送信する	情報	通知	""	""	タイマー（日次の期限チェック）起動で、抽出した貸出の利用者に、書籍と返却期限を記載したリマインドメールをメール配信サービス経由で自動送信する。通知状態は送信待ちから送信済みまたは送信失敗となる	""
貸出業務	返却期限通知フロー	""	返却期限のリマインドを受け取る	""	返却期限リマインドを送信する	情報	貸出	""	""	""	""
貸出業務	返却期限通知フロー	""	返却期限のリマインドを受け取る	""	返却期限リマインドを送信する	情報	利用者	""	""	""	""
貸出業務	返却期限通知フロー	""	返却期限のリマインドを受け取る	""	返却期限リマインドを送信する	条件	リマインド送信条件	""	""	""	""
貸出業務	返却期限通知フロー	""	返却期限のリマインドを受け取る	""	返却期限リマインドを送信する	条件	通知送信条件	""	""	""	""
貸出業務	返却期限通知フロー	""	返却期限のリマインドを受け取る	""	返却期限リマインドを送信する	タイマー	日次の期限チェック	""	""	""	""
貸出業務	返却期限通知フロー	""	返却期限のリマインドを受け取る	""	返却期限リマインドを送信する	イベント	返却期限事前案内配信	外部システム	メール配信サービス	""	""
貸出業務	返却期限通知フロー	""	通知の送信結果を確認する	""	通知送信状況を照会する	情報	通知	""	""	司書がリマインド・督促・取置通知の送信状況（送信待ち、送信済み、送信失敗）を確認し、送信失敗の利用者への連絡漏れを防ぐ	""
貸出業務	返却期限通知フロー	""	通知の送信結果を確認する	""	通知送信状況を照会する	情報	利用者	""	""	""	""
貸出業務	返却期限通知フロー	""	通知の送信結果を確認する	""	通知送信状況を照会する	条件	操作権限条件	""	""	""	""
貸出業務	返却期限通知フロー	""	通知の送信結果を確認する	""	通知送信状況を照会する	画面	連絡漏れ確認画面	アクター	司書	""	""
貸出業務	延滞督促フロー	""	延滞している貸出を把握する	""	延滞貸出を判定する	情報	貸出	""	""	タイマー（日次の期限チェック）起動で、延滞判定条件（返却期限を超過した未返却）に該当する貸出の貸出状態を延滞にする	""
貸出業務	延滞督促フロー	""	延滞している貸出を把握する	""	延滞貸出を判定する	条件	延滞判定条件	""	""	""	""
貸出業務	延滞督促フロー	""	延滞している貸出を把握する	""	延滞貸出を判定する	タイマー	日次の期限チェック	""	""	""	""
貸出業務	延滞督促フロー	""	延滞者に返却を督促する	""	督促を送信する	情報	通知	""	""	タイマー（日次の期限チェック）起動で、延滞となった貸出の利用者に、書籍と返却期限を記載した督促メールをメール配信サービス経由で自動送信する。通知状態は送信待ちから送信済みまたは送信失敗となる	""
貸出業務	延滞督促フロー	""	延滞者に返却を督促する	""	督促を送信する	情報	貸出	""	""	""	""
貸出業務	延滞督促フロー	""	延滞者に返却を督促する	""	督促を送信する	情報	利用者	""	""	""	""
貸出業務	延滞督促フロー	""	延滞者に返却を督促する	""	督促を送信する	条件	督促送信条件	""	""	""	""
貸出業務	延滞督促フロー	""	延滞者に返却を督促する	""	督促を送信する	条件	通知送信条件	""	""	""	""
貸出業務	延滞督促フロー	""	延滞者に返却を督促する	""	督促を送信する	タイマー	日次の期限チェック	""	""	""	""
貸出業務	延滞督促フロー	""	延滞者に返却を督促する	""	督促を送信する	イベント	延滞返却催告配信	外部システム	メール配信サービス	""	""
貸出業務	延滞督促フロー	""	延滞状況を確認する	""	延滞貸出一覧を照会する	情報	貸出	""	""	司書が延滞中の貸出と利用者、延滞日数、督促の送信状況を一覧で確認する	""
貸出業務	延滞督促フロー	""	延滞状況を確認する	""	延滞貸出一覧を照会する	情報	利用者	""	""	""	""
貸出業務	延滞督促フロー	""	延滞状況を確認する	""	延滞貸出一覧を照会する	情報	通知	""	""	""	""
貸出業務	延滞督促フロー	""	延滞状況を確認する	""	延滞貸出一覧を照会する	条件	操作権限条件	""	""	""	""
貸出業務	延滞督促フロー	""	延滞状況を確認する	""	延滞貸出一覧を照会する	画面	延滞状況一覧画面	アクター	司書	""	""
貸出業務	延滞督促フロー	""	督促を受けて書籍を返却する	""	延滞中の貸出を確認する	情報	貸出	""	""	利用者が延滞中の書籍と返却期限を Web 画面で確認し、書籍を返却する	""
貸出業務	延滞督促フロー	""	督促を受けて書籍を返却する	""	延滞中の貸出を確認する	情報	書籍	""	""	""	""
貸出業務	延滞督促フロー	""	督促を受けて書籍を返却する	""	延滞中の貸出を確認する	条件	利用状況閲覧範囲条件	""	""	""	""
貸出業務	延滞督促フロー	""	督促を受けて書籍を返却する	""	延滞中の貸出を確認する	画面	延滞書籍確認画面	アクター	利用者	""	""
貸出業務	利用状況確認フロー	""	自分の貸出履歴を確認する	""	貸出履歴を照会する	情報	貸出	""	""	ログインした利用者が自分の過去と現在の貸出を返却期限付きで一覧表示する。他の利用者の貸出は表示しない	""
貸出業務	利用状況確認フロー	""	自分の貸出履歴を確認する	""	貸出履歴を照会する	情報	書籍	""	""	""	""
貸出業務	利用状況確認フロー	""	自分の貸出履歴を確認する	""	貸出履歴を照会する	情報	利用者	""	""	""	""
貸出業務	利用状況確認フロー	""	自分の貸出履歴を確認する	""	貸出履歴を照会する	条件	利用状況閲覧範囲条件	""	""	""	""
貸出業務	利用状況確認フロー	""	自分の貸出履歴を確認する	""	貸出履歴を照会する	画面	マイ貸出履歴画面	アクター	利用者	""	""
貸出業務	利用状況確認フロー	""	自分の予約状況を確認する	""	予約状況を照会する	情報	予約	""	""	ログインした利用者が自分の予約中の書籍と予約順、予約状態を一覧表示する。他の利用者の予約は表示しない	""
貸出業務	利用状況確認フロー	""	自分の予約状況を確認する	""	予約状況を照会する	情報	書籍	""	""	""	""
貸出業務	利用状況確認フロー	""	自分の予約状況を確認する	""	予約状況を照会する	情報	利用者	""	""	""	""
貸出業務	利用状況確認フロー	""	自分の予約状況を確認する	""	予約状況を照会する	条件	利用状況閲覧範囲条件	""	""	""	""
貸出業務	利用状況確認フロー	""	自分の予約状況を確認する	""	予約状況を照会する	画面	マイ予約状況画面	アクター	利用者	""	""
貸出業務	利用状況確認フロー	""	利用者の利用状況の問い合わせに対応する	""	利用者の利用状況を照会する	情報	利用者	""	""	司書が利用者番号を指定して、その利用者の貸出と予約の状況を確認する	""
貸出業務	利用状況確認フロー	""	利用者の利用状況の問い合わせに対応する	""	利用者の利用状況を照会する	情報	貸出	""	""	""	""
貸出業務	利用状況確認フロー	""	利用者の利用状況の問い合わせに対応する	""	利用者の利用状況を照会する	情報	予約	""	""	""	""
貸出業務	利用状況確認フロー	""	利用者の利用状況の問い合わせに対応する	""	利用者の利用状況を照会する	条件	操作権限条件	""	""	""	""
貸出業務	利用状況確認フロー	""	利用者の利用状況の問い合わせに対応する	""	利用者の利用状況を照会する	画面	利用者問合せ対応画面	アクター	司書	""	""
蔵書分析業務	蔵書利用状況分析フロー	""	蔵書の在庫状況を把握する	""	在庫状況レポートを表示する	情報	書籍	""	""	司書が書籍状態（貸出中、在庫あり、予約待ち）ごとの書籍と件数を確認する	""
蔵書分析業務	蔵書利用状況分析フロー	""	蔵書の在庫状況を把握する	""	在庫状況レポートを表示する	条件	在庫状況集計条件	""	""	""	""
蔵書分析業務	蔵書利用状況分析フロー	""	蔵書の在庫状況を把握する	""	在庫状況レポートを表示する	条件	操作権限条件	""	""	""	""
蔵書分析業務	蔵書利用状況分析フロー	""	蔵書の在庫状況を把握する	""	在庫状況レポートを表示する	画面	在庫状況レポート画面	アクター	司書	""	""
蔵書分析業務	蔵書利用状況分析フロー	""	人気のある書籍を把握する	""	人気書籍ランキングを表示する	情報	貸出統計	""	""	司書が期間内の貸出回数の多い順に書籍を並べたランキングを確認し、選書に役立てる	""
蔵書分析業務	蔵書利用状況分析フロー	""	人気のある書籍を把握する	""	人気書籍ランキングを表示する	情報	貸出	""	""	""	""
蔵書分析業務	蔵書利用状況分析フロー	""	人気のある書籍を把握する	""	人気書籍ランキングを表示する	情報	書籍	""	""	""	""
蔵書分析業務	蔵書利用状況分析フロー	""	人気のある書籍を把握する	""	人気書籍ランキングを表示する	条件	人気書籍ランキング条件	""	""	""	""
蔵書分析業務	蔵書利用状況分析フロー	""	人気のある書籍を把握する	""	人気書籍ランキングを表示する	条件	操作権限条件	""	""	""	""
蔵書分析業務	蔵書利用状況分析フロー	""	人気のある書籍を把握する	""	人気書籍ランキングを表示する	画面	選書検討ランキング画面	アクター	司書	""	""
蔵書分析業務	蔵書利用状況分析フロー	""	貸出の傾向を分析する	""	貸出統計を集計する	情報	貸出統計	""	""	司書が開始日と終了日の集計期間を指定し、期間内の貸出件数を集計して表示する	""
蔵書分析業務	蔵書利用状況分析フロー	""	貸出の傾向を分析する	""	貸出統計を集計する	情報	貸出	""	""	""	""
蔵書分析業務	蔵書利用状況分析フロー	""	貸出の傾向を分析する	""	貸出統計を集計する	条件	貸出統計集計条件	""	""	""	""
蔵書分析業務	蔵書利用状況分析フロー	""	貸出の傾向を分析する	""	貸出統計を集計する	条件	操作権限条件	""	""	""	""
蔵書分析業務	蔵書利用状況分析フロー	""	貸出の傾向を分析する	""	貸出統計を集計する	画面	期間別貸出分析画面	アクター	司書	""	""
