コンテキスト	状態モデル	状態	遷移UC	遷移先状態	説明
取置管理	取置状態	""	取置を登録する	準備完了	予約に対して確保した資料の取置から会員への受け渡しまでを管理する状態モデル。取置準備フローで取置を登録すると準備完了になり、会員へ「準備できました」と取置期限を連絡する（予約・取置の状況は会員へ速やかに連絡するポリシー）
取置管理	取置状態	準備完了	取置を貸し出す	解放	取置受け渡しフローで会員が取置期限内に受け取りに来て貸し出すと解放へ遷移し、予約資料の確実な受け渡しが完了する
取置管理	取置状態	準備完了	取置を期限切れにする	期限切れ	取置期限切れ処理フローで取置期限（取置日+7日）を過ぎた取置の期限切れ処理を実行すると期限切れへ遷移し、予約を無効にして資料を在庫へ解放する（取置には受け取り期限を設けるポリシー）
取置管理	取置状態	解放	""	""	解放は終了状態であり他の状態へ遷移しない
取置管理	取置状態	期限切れ	""	""	期限切れは終了状態であり他の状態へ遷移しない
会員管理	会員状態	""	""	未登録	図書館サービス（貸出・予約）の利用資格を管理する状態モデル。図書館カードを持たない一般利用者は未登録状態から始まり、貸出・予約の登録前の会員有効性検証で未登録会員はエラーとする（図書館サービスは会員制で提供するポリシー。開始遷移に対応するUCはない）
会員管理	会員状態	未登録	会員を登録する	有効	会員登録フローで市内在住・在学の資格を確認して図書館カード（有効期限3年）を発行すると有効になる（会員登録UCはas-is未実装で現状は初期データ投入のみ）
会員管理	会員状態	有効	利用停止を登録する	無効	2ヶ月以上の延滞による図書館カードの利用停止（1ヶ月間）の登録、または図書館カードの有効期限（3年）切れで無効になる（延滞の程度に応じた段階的罰則ポリシー。as-isは貸出可否判定の貸出停止区分のみの部分実装で停止期間の管理は未実装）
会員管理	会員状態	無効	""	有効	図書館カードの更新または利用停止期間（1ヶ月）の経過により再び有効になる想定（明示的な遷移UCは未実装のため遷移UCなし）
会員管理	会員状態	無効	""	""	会員資格の失効・退会による終端（初期要望のスコープ外のため対応する業務・UCはない）
貸出管理	貸出状態	""	貸出を登録する	未返却	個々の貸出の返却・延長を管理する状態モデル。貸出フローの貸出登録で未返却の貸出が発生する（as-isでは返却イベントの有無で未返却/返却済を表現）
貸出管理	貸出状態	""	取置を貸し出す	未返却	取置受け渡しフローで取置資料を貸出登録した場合も未返却の貸出が発生する
貸出管理	貸出状態	未返却	貸出を延長する	延長済	貸出延長フローで会員の申し出を受け、司書がほかの人の予約がないことと延長回数（1回まで）を確認して貸出を15日間延長する（貸出延長UCはas-is未実装のUC候補。延長は1回まで・他の予約がない場合のみ認めるポリシー）
貸出管理	貸出状態	未返却	返却を登録する	返却済	返却フローの返却登録で返却済になる。返却時に会員と貸出の紐付けを削除して貸出記録を会員から切り離す（貸出記録は返却時に消去する個人情報保護ポリシー）
貸出管理	貸出状態	延長済	返却を登録する	返却済	延長した貸出も返却登録で返却済になる。2回目の延長は認めないため延長済からの再延長遷移は存在しない
貸出管理	貸出状態	返却済	""	""	返却済は終了状態であり他の状態へ遷移しない
貸出管理	遅延状態	""	貸出を登録する	遅延日数１５日未満	会員の未返却貸出の遅延度合いから貸出制限（延滞の罰則）を判定するための状態モデル。判定の都度、会員の全未返却貸出のうち最大の遅延期間から導出される非永続の状態で、貸出登録直後や遅延なしは遅延日数１５日未満（貸出可能）に含まれる
貸出管理	遅延状態	遅延日数１５日未満	""	遅延日数２ヶ月未満	返却されないまま時間が経過し、最大遅延期間が15日以上2ヶ月未満になると新規貸出不可の判定となる（延滞の程度に応じた段階的罰則ポリシー。時間経過による遷移でUCによる明示的な遷移はない）
貸出管理	遅延状態	遅延日数２ヶ月未満	""	遅延日数２ヶ月以上	さらに時間が経過し最大遅延期間が2ヶ月以上になると図書館カードの利用を一定期間（1ヶ月）停止する判定となる。返却期日から60日以上経過する遅滞者は毎月末日の督促対象になる（時間経過による遷移でUCによる明示的な遷移はない）
貸出管理	遅延状態	遅延日数２ヶ月未満	返却を登録する	遅延日数１５日未満	遅延していた貸出の返却登録により最大遅延期間が解消されると貸出可能の判定に戻る（状態は判定の都度導出され、返却登録が解消の起点となる）
貸出管理	遅延状態	遅延日数２ヶ月以上	返却を登録する	遅延日数１５日未満	遅延していた貸出の返却登録により最大遅延期間が解消されると貸出可能の判定に戻る（状態は判定の都度導出され、返却登録が解消の起点となる）
貸出管理	遅延状態	遅延日数１５日未満	返却を登録する	""	全ての貸出の返却登録により未返却貸出がなくなると遅延判定の対象外となる
貸出管理	貸出期限状態	""	貸出を登録する	期限内	個々の貸出が返却期限を過ぎたかを管理し、延滞管理・督促業務（貸出期限切れの確認）を支援するための状態モデル。貸出登録により貸出期限日（貸出日+15日−1日）が定まり期限内から始まる
貸出管理	貸出期限状態	期限内	貸出期限切れを確認する	期限切れ	貸出期限日を過ぎると期限切れ（延滞）となり督促の対象になる。図書館館長が毎月末日に貸出期限切れを確認して遅滞者を把握し、予約が入っている資料は返却期日超過時点で速やかに電話督促する（as-isでは判定ロジックがスタブの未完成実装）
貸出管理	貸出期限状態	期限内	返却を登録する	""	期限内に返却登録されると期限管理の対象外となる
貸出管理	貸出期限状態	期限切れ	返却を登録する	""	督促等を経て返却登録されると期限管理の対象外となる
